COUNTY,Adult_hiv,men_hiv,women,LAT,LNG
BARINGO,3%,2.90%,3.20%,0.6692519803,35.9464653527
BOMET,5.80%,4.50%,8.70%,-0.7262945834,35.2985975867
BUNGOMA,3.20%,2.40%,6%,0.7492852396,34.6404608756
BUSIA,6.80%,5.60%,13.90%,0.3874436776,34.1936314884
ELEGEYO-MARAKWET,2.50%,5%,1.50%,0.802219,35.536563
EMBU,3.70%,1.50%,2.80%,-0.6039743776,37.6265013265
GARISSA,2.10%,4.50%,0.70%,-0.4889103448,40.1992785378
HOMA BAY,25.70%,17.80%,29.10%,-0.5428093942,34.3589968687
ISIOLO,4.20%,2.30%,5.70%,1.0104430775,38.5421531206
KAJIADO,4.40%,,15.60%,-2.1213835779,36.908842193
KAKAMEGA,5.90%,3.40%,4.50%,0.403683464,34.744511153
KERICHO,3.40%,3.40%,4.50%,-0.295732906,35.3140700086
KIAMBU,3.80%,2.30%,6.70%,-1.068706066,36.8235642579
KILIFI,4.40%,4.30%,7.40%,-3.1757320132,39.6866875507
KIRINYAGA,3.30%,5.40%,2.80%,-0.5247462962,37.3198681093
KISII,8%,4%,6.80%,-0.7746037572,34.7747229835
KISUMU,19.30%,14.20%,20.50%,-0.1694586948,34.835203466
KITUI,4.30%,1.40%,5.30%,-1.4910385308,38.4069210158
KWALE,5.70%,2.20%,3.10%,-4.1831495272,39.1904119005
LAIKIPIA,3.70%,3.20%,5.30%,0.3236041225,36.7717278588
LAMU,2.30%,1.40%,3.20%,-2.0786825436,40.882860682
MACHAKOS,5%,2.90%,6.80%,-1.2795123066,37.4126760329
MAKUENI,5.60%,3.30%,7.60%,-2.1576841001,37.7882455725
MANDERA,1.70%,2%,2.30%,3.436469488,40.7388101667
MARSABIT,1.20%,7%,1.60%,2.9786587865,37.5695361088
MERU,3%,3.40%,4.50%,0.1667792413,37.7640370542
MIGORI,14.70%,10%,15.90%,-0.9895368437,34.3633453076
MOMBASA,7.40%,4.50%,10.50%,-4.0212562197,39.6508827026
MURANG'A,5.20%,1.20%,9.80%,-0.8095905365,37.0327225233
NAIROBI,6.80%,5.90%,9.70%,-1.2934134703,36.8681892682
NAKURU,5.30%,3.30%,8.50%,-0.4636754317,36.0784790942
NANDI,3.70%,3.10%,5.20%,0.1866888869,35.1104876664
NAROK,5%,12.50%,6.30%,-1.2547903321,35.5763292139
NYAMIRA,6.40%,5.30%,7.50%,-0.6427324001,34.9646595611
NYANDARUA,3.80%,3.30%,2.60%,-0.3220778225,36.482869161
NYERI,4.30%,2.30%,5.50%,-0.3429235894,36.9564781346
SAMBURU,5%,2.30%,5.50%,1.3168546261,37.118394067
SIAYA,23.70%,15.90%,23.30%,-0.0621298886,34.2476417045
TAITA TAVETA,6.10%,7.30%,10.60%,-3.4347339937,38.4186020033
TANA RIVER,1%,1.90%,1.50%,-1.5263666043,39.4178692029
THARAKA - NITHI,4.30%,6.40%,2.10%,-0.2070612179,37.8702972709
TRANS NZOIA,5.10%,10%,9.30%,1.0509548086,34.9574199775
TURKANA,7.60%,10%,10.80%,3.4248491959,35.4357584553
UASIN GISHU,4.30%,3.40%,6.10%,0.5260858916,35.3220116672
VIHIGA,3.80%,2.70%,11.80%,0.0762657959,34.7223230361
WAJIR,0.20%,0.10%,0%,1.8081376238,40.0349856396
WEST POKOT,2.80%,1.70%,3%,1.7401061713,35.2438468092
