County,ad_hiv,men_hiv,wom_hiv,LAT,LNG,Gen_index,Spending per person ,
Nyeri,4.3,2.3,5.5,-0.342923589,36.95647813,0.53,1259,3.2
Embu,3.7,1.5,2.8,-0.603974378,37.62650133,0.55,778,1.3
Makueni,5.6,3.3,7.6,-2.1576841,37.78824557,0.55,825,4.3
Kirinyaga,3.3,5.4,2.8,-0.524746296,37.31986811,0.57,835,-2.6
Muranga,5.2,1.2,9.8,-0.809590537,37.03272252,0.57,1106,8.6
Kiambu,3.8,2.3,6.7,-1.068706066,36.82356426,0.57,2632,4.4
Tharaka Nithi,4.3,6.4,2.1,-0.207061218,37.87029727,0.58,109,-4.3
Baringo,3,2.9,3.2,0.66925198,35.94646535,0.58,714,0.3
Kitui,4.3,1.4,5.3,-1.491038531,38.40692102,0.59,971,3.9
Nyandarua,3.8,3.3,2.6,-0.322077823,36.48286916,0.6,589,-0.7
Taita Taveta,6.1,7.3,10.6,-3.434733994,38.418602,0.6,598,3.3
Kajiado,4.4,0,15.6,-2.121383578,36.90884219,0.6,694,15.6
Laikipia,3.7,3.2,5.3,0.323604123,36.77172786,0.6,784,2.1
Elgeyo-Marakwet,2.5,5,1.5,0.802219,35.536563,0.62,459,-3.5
Trans Nzoia,5.1,10,9.3,1.050954809,34.95741998,0.62,652,-0.7
Bomet,5.8,4.5,8.7,-0.726294583,35.29859759,0.62,666,4.2
Kericho,3.4,3.4,4.5,-0.295732906,35.31407001,0.62,785,1.1
Bungoma,3.2,2.4,6,0.74928524,34.64046088,0.62,1361,3.6
Machakos,5,2.9,6.8,-1.279512307,37.41267603,0.62,1791,3.9
Nairobi,6.8,5.9,9.7,-1.29341347,36.86818927,0.62,17625,3.8
Vihiga,3.8,2.7,11.8,0.076265796,34.72232304,0.63,594,9.1
Kwale,5.7,2.2,3.1,-4.183149527,39.1904119,0.63,655,0.9
Uasin Gishu,4.3,3.4,6.1,0.526085892,35.32201167,0.63,1163,2.7
Kisii,8,4,6.8,-0.774603757,34.77472298,0.63,1192,2.8
Kakamega,5.9,3.4,4.5,0.403683464,34.74451115,0.63,1620,1.1
Kisumu,19.3,14.2,20.5,-0.169458695,34.83520347,0.63,1845,6.3
Isiolo,4.2,2.3,5.7,1.010443078,38.54215312,0.64,433,3.4
Meru,3,3.4,4.5,0.166779241,37.76403705,0.64,1530,1.1
Nakuru,5.3,3.3,8.5,-0.463675432,36.07847909,0.64,2379,5.2
West Pokot,2.8,1.7,3,1.740106171,35.24384681,0.65,366,1.3
Nyamira,6.4,5.3,7.5,-0.6427324,34.96465956,0.65,487,2.2
Turkana,7.6,10,10.8,3.424849196,35.43575846,0.65,524,0.8
Garissa,2.1,4.5,0.7,-0.488910345,40.19927854,0.65,600,-3.8
Nandi,3.7,3.1,5.2,0.186688887,35.11048767,0.65,629,2.1
Busia,6.8,5.6,13.9,0.387443678,34.19363149,0.65,836,8.3
Siaya,23.7,15.9,23.3,-0.062129889,34.2476417,0.65,936,7.4
Narok,5,12.5,6.3,-1.254790332,35.57632921,0.65,1509,-6.2
Mombasa,7.4,4.5,10.5,-4.02125622,39.6508827,0.65,3994,6
Samburu,5,2.3,5.5,1.316854626,37.11839407,0.66,331,3.2
Homa Bay,25.7,17.8,29.1,-0.542809394,34.35899687,0.67,649,11.3
Kilifi,4.4,4.3,7.4,-3.175732013,39.68668755,0.67,1512,3.1
Tana River,1,1.9,1.5,-1.526366604,39.4178692,0.69,76,-0.4
Mandera,1.7,2,2.3,3.436469488,40.73881017,0.69,369,0.3
Marsabit,1.2,7,1.6,2.978658787,37.56953611,0.69,425,-5.4
Migori,14.7,10,15.9,-0.989536844,34.36334531,0.69,1006,5.9
Lamu,2.3,1.4,3.2,-2.078682544,40.88286068,0.71,238,1.8
Wajir,0.2,0.1,0,1.808137624,40.03498564,0.73,275,-0.1
Total Average,,4.753191489,7.353191489,-3.75,41.53,,,
