County,Spending per person 
Baringo,714
Bomet,666
Bungoma,1361
Busia,836
Elgeyo/Marakwet,459
Embu,778
Garissa,600
Homa Bay,649
Isiolo,433
Kajiado,694
Kakamega,1620
Kericho,785
Kiambu,2632
Kilifi,1512
Kirinyaga,835
Kisii,1192
Kisumu,1845
Kitui,971
Kwale,655
Laikipia,784
Lamu,238
Machakos,1791
Makueni,825
Mandera,369
Marsabit,425
Meru,1530
Migori,1006
Mombasa,3994
Muranga,1106
Nairobi,17625
Nakuru,2379
Nandi,629
Narok,1509
Nyamira,487
Nyandarua,589
Nyeri,1259
Samburu,331
Siaya,936
Taita Taveta,598
Tana River,76
Tharaka Nithi,109
Trans Nzoia,652
Turkana,524
Uasin Gishu,1163
Vihiga,594
Wajir,275
West Pokot,366
